Integration Time (ms),60
Wavelength,Watts/Count,Count,Watts
382.865275566249,0,0,0
383.32464497248,0,0,0
383.78405307837,0,0,0
384.243499879439,0,0,0
384.702985371206,0,0,0
385.162509549189,0,0,0
385.622072408906,0,0,0
386.081673945878,0,0,0
386.541314155622,0,0,0
387.000993033657,0,0,0
387.460710575502,0,0,0
387.920466776676,0,0,0
388.380261632697,0,0,0
388.840095139085,0,0,0
389.299967291357,0,0,0
389.759878085033,0,0,0
390.219827515631,0,0,0
390.679815578671,0,0,0
391.13984226967,0,0,0
391.599907584148,0,0,0
392.060011517624,0,0,0
392.520154065616,0,0,0
392.980335223642,0,0,0
393.440554987222,0,0,0
393.900813351875,0,0,0
394.361110313119,0,0,0
394.821445866472,0,0,0
395.281820007454,0,0,0
395.742232731584,0,0,0
396.20268403438,0,0,0
396.66317391136,0,0,0
397.123702358044,0,0,0
397.58426936995,0,0,0
398.044874942598,0,0,0
398.505519071505,0,0,0
398.966201752191,0,0,0
399.426922980174,0,0,0
399.887682750973,0,0,0
400.348481060107,0,12.2857142857135,0
400.809317903095,0,7.66666666667015,0
401.270193275455,0,5.9047619047667,0
401.731107172706,0,1.76190476190004,0
402.192059590367,0,0,0.0001812351
402.653050523956,0,0,0.0006162444
403.114079968992,0,0,0.0008359893
403.575147920995,0,0,0.0004009073
404.036254375482,0,0,0
404.497399327973,0,0,0
404.958582773986,0,0.285714285718313,0
405.41980470904,0.00019073940994643,1.28571428571354,0.0002452364
405.881065128654,0.000125680089695484,4.09523809523466,0.0005146899
406.342364028346,0.000106197189793369,6.38095238095138,0.0006776392
406.803701403636,8.92880553793689E-05,8.99999999999886,0.0008035925
407.265077250041,9.25714933228412E-05,7.85714285714585,0.0007273474
407.726491563081,0.000110822775719877,4.52380952380577,0.0005013411
408.187944338275,0.000136615951002244,3.00000000000045,0.0004098479
408.649435571141,0.000171380796625228,2.99999999999545,0.0005141424
409.110965257198,0.0138599136274806,0.0476190476147167,0.0006599959
409.572533391964,0,0,0.0009371389
410.034139970959,0,0,0.001203284
410.495784989702,0,0,0.00133144
